uf,cargo,nome_citado,partido_citado,id_tse,slug,nome_urna,status,motivo,natureza,medida,posicao,percentual,instituto,contratante,registro_tse,campo_inicio,campo_fim,entrevistas,margem,confianca,coleta,tipo,fonte,fonte_url,data_acesso
RJ,depest,Bruno Porto,PL,190002533705,,BRUNO PORTO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Carlinhos BNH,PP,190002541679,,CARLINHOS BNH,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Carla Machado,PSD,190002538018,,CARLA MACHADO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Carlos Macedo,REPUBLICANOS,190002542978,,CARLOS MACEDO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Carlos Russo,DC,190002548279,,CARLOS RUSSO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Célia Jordão,PSD,190002538015,,CELIA JORDÃO,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Danniel Librelon,REPUBLICANOS,190002542973,,LIBRELON,resolvido,"nome completo começa pelo citado, partido confere",registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Felipinho Ravis,PP,190002541653,,FELIPINHO RAVIS,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Fernanda Neves,PDT,190002541803,,FERNANDA NEVES,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
RJ,depest,Guilherme Delaroli,PL,190002533706,,GUILHERME DELAROLI,resolvido,nome de urna e partido conferem,registrada,citado espontaneamente entre os mais lembrados,,,Prefab Future,Diário do Rio,RJ-02770/2026,2026-07-24,2026-07-29,2000,2.19,95,presencial,espontanea,"Prefab Future / Diário do Rio, registro TSE RJ-02770/2026",https://diariodorio.com/pesquisa-diario-do-rio-prefab-revela-os-candidatos-a-deputado-mais-citados-no-rio/,2026-09-10
