uf,slug,nome_urna,nome_completo,verbete,pontuacao,trecho,status
SP,sp-dep-fed-rosana-valle,ROSANA VALLE,ROSANA DE OLIVEIRA VALLE,Rosana Valle,12,"Rosana de Oliveira Valle (Santos, 8 de maio de 1969), é uma jornalista, escritora e política brasileira, filiada ao Partido Liberal (PL). É deputada federal por São Paulo.",aceito
SP,sp-dep-fed-samia-bomfim,SÂMIA BOMFIM,SÂMIA DE SOUZA BOMFIM,Sâmia Bomfim,12,"Sâmia de Souza Bomfim (Presidente Prudente, 22 de agosto de 1989) é uma servidora pública, militante feminista e política brasileira, filiada ao Partido Socialismo e Liberdade (PSOL). É deputada feder",aceito
SP,sp-dep-fed-adrilles-jorge,ADRILLES JORGE,ADRILLES REIS JORGE,Adrilles Jorge,12,"Adrilles Reis Jorge (Campos Gerais, 16 de novembro de 1974) é um poeta, comentarista político e jornalista brasileiro filiado ao União Brasil (UNIÃO). Foi eleito vereador em 2024 pela cidade de São Pa",aceito
SP,sp-dep-fed-caneta-azul-manoel-gomes,CANETA AZUL - MANOEL GOMES,MANOEL JARDIM GOMES,Manoel Gomes,9,"Manoel Jardim Gomes, mais conhecido como Manoel Gomes (Balsas, 2 de dezembro de 1969), é um cantor, compositor e político brasileiro. É conhecido por criar a música ""Caneta Azul"", que se tornou um mem",aceito
SP,sp-dep-fed-geraldo-luis,GERALDO LUÍS,GERALDO LUIS SACRAMENTO,Geraldo Luís,12,"Geraldo Luís Sacramento (Limeira, 13 de maio de 1971) é um jornalista, apresentador, radialista e político brasileiro filiado ao Avante . Tornou-se conhecido pelo bordão ""Balança"", lançado na época em",aceito
SP,sp-dep-fed-jean-wyllys,JEAN WYLLYS,JEAN WYLLYS DE MATOS SANTOS,Jean Wyllys,12,"Jean Wyllys de Matos Santos (Alagoinhas, 10 de março de 1974) é um jornalista, professor universitário e político brasileiro. Filiado ao Partido dos Trabalhadores (PT), é ex-deputado federal pelo Rio ",aceito
SP,sp-dep-fed-lucas-pavanato,LUCAS PAVANATO,LUCAS PAVANATO DE OLIVEIRA,Lucas Pavanato,12,"Lucas Pavanato de Oliveira (Sorocaba, 12 de maio de 1998) é um político, youtuber e ativista brasileiro de direita filiado ao Partido Liberal (PL). Foi eleito vereador na eleição municipal em São Paul",aceito
SP,sp-dep-fed-lucas-penteado,LUCAS PENTEADO,LUCAS PRATA PENTEADO,Lucas Penteado,9,"Lucas Prata Penteado (São Paulo, 23 de novembro de 1996) é um ator, cantor, rapper e ativista brasileiro. Ganhou notoriedade após atuar na série Malhação: Viva a Diferença, tendo projeção nacional apó",aceito
SP,sp-dep-fed-luis-fabiano,LUIS FABIANO,LUIS FABIANO CLEMENTE,,4,"Luís Fabiano Clemente (Campinas, 8 de novembro de 1980) é um ex-futebolista brasileiro que atuava como centroavante. Atualmente é comentarista dos canais ESPN e Disney+ e político filiado ao Movimento",sem verbete localizado
SP,sp-dep-fed-mc-gui,MC GUI,GUILHERME KAUE CASTANHEIRA ALVES,MC Gui,9,"Guilherme Kaue Castanheira Alves, mais conhecido como MC Gui (São Paulo, 19 de maio de 1998), é um cantor e compositor brasileiro de funk ostentação. Atualmente, faz parte do cast da produtora de funk",aceito
SP,sp-dep-fed-rachel-sheherazade,RACHEL SHEHERAZADE,RACHEL SHEHERAZADE BARBOSA,Rachel Sheherazade,9,"Rachel Sheherazade Barbosa (João Pessoa, 5 de setembro de 1973) é uma jornalista, apresentadora, colunista e escritora brasileira. Entre 2011 e 2020 foi âncora do telejornal SBT Brasil. Entre 2014 e 2",aceito
SP,sp-dep-fed-renato-bolsonaro,RENATO BOLSONARO,RENATO ANTONIO BOLSONARO,,-5,"Família Bolsonaro (ou Clã Bolsonaro, ou ainda Os Bolsonaro) é um clã político brasileiro com atuação na política nacional. Seu membro mais conhecido, Jair Bolsonaro, assumiu o cargo de vereador do Rio",sem verbete localizado
SP,sp-dep-fed-silvia-abravanel,SILVIA ABRAVANEL,SILVIA ABRAVANEL DE MOURA,Silvia Abravanel,12,"Silvia Abravanel Moura (nascida Vieira Abravanel; São Paulo, 18 de abril de 1971), também conhecida como Silvinha, é uma apresentadora de televisão, produtora, dubladora, empresária, diretora e políti",aceito
SP,sp-dep-fed-thiago-dos-reis,THIAGO DOS REIS,THIAGO DOS REIS PEREIRA DOS SANTOS,,-5,"Thiago Reis Auricchio (São Caetano do Sul, 23 de abril de 1993), é um advogado e político brasileiro filiado ao Partido Liberal (PL), atual deputado estadual de São Paulo, eleito nas eleições estaduai",sem verbete localizado
SP,sp-dep-fed-val-marchiori,VAL MARCHIORI,VALDIRENE APARECIDA DE MARCHIORI,Val Marchiori,9,"Valdirene Aparecida de Marchiori, mais conhecida como Val Marchiori (Arapongas, 6 de outubro de 1974) é uma socialite, empresária, apresentadora e ex-modelo brasileira. Tornou-se conhecida ao particip",aceito
