uf,cargo,turno,instituto,contratante,data_ref,data_divulgacao,campo_inicio,campo_fim,amostra,margem_erro,metodologia,registro_tse,cenario,principal,candidato,partido,slug,percentual,fonte,url,revid
RS,senador,1,Neokemp,,2025-11-11,,2025-11-10,2025-11-11,1008,3.1,,,2,0,Ubiratan Sanderson,PL,rs-sen-sanderson,17.7,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2025-11-24,,2025-11-21,2025-11-24,1200,3.0,,,1,1,Eduardo Leite,PSD,,19.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2025-11-24,,2025-11-21,2025-11-24,1200,3.0,,,1,1,Manuela d'Ávila,PSOL,rs-sen-manuela-d-avila,16.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2025-11-24,,2025-11-21,2025-11-24,1200,3.0,,,1,1,Marcel van Hattem,NOVO,rs-sen-marcel-van-hattem,15.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2025-11-24,,2025-11-21,2025-11-24,1200,3.0,,,1,1,Paulo Pimenta,PT,rs-sen-pimenta,15.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Real Time Big Data,,2025-11-24,,2025-11-21,2025-11-24,1200,3.0,,,1,1,Ubiratan Sanderson,PL,rs-sen-sanderson,12.0,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,1,1,Eduardo Leite,PSD,,40.3,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,1,1,Manuela d'Ávila,PSOL,rs-sen-manuela-d-avila,29.8,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,1,1,Marcel van Hattem,NOVO,rs-sen-marcel-van-hattem,28.9,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
RS,senador,1,Futura,,2026-02-10,,2026-02-09,2026-02-10,800,3.5,,,1,1,Germano Rigotto,MDB,rs-sen-rigotto,27.5,"Wikipédia (compilação das divulgações), Pesquisas eleitorais para a eleição estadual de 2026 no Rio Grande do Sul",https://pt.wikipedia.org/wiki/Pesquisas_eleitorais_para_a_eleição_estadual_de_2026_no_Rio_Grande_do_Sul,72880377
