data,candidato,artigo,pageviews,fonte,url_fonte,observacao
2026-01-11,Augusto Cury,Augusto Cury,176,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Augusto_Cury,
2026-01-11,Flávio Bolsonaro,Flávio Bolsonaro,704,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Flávio_Bolsonaro,
2026-01-11,Lula,Luiz Inácio Lula da Silva,2312,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Luiz_Inácio_Lula_da_Silva,
2026-01-11,Pablo Marçal,Pablo Marçal,332,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Pablo_Marçal,
2026-01-11,Renan Santos,Renan Santos,892,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Renan_Santos,
2026-01-11,Romeu Zema,Romeu Zema,229,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Romeu_Zema,
2026-01-11,Ronaldo Caiado,Ronaldo Caiado,277,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Ronaldo_Caiado,
2026-01-12,Augusto Cury,Augusto Cury,184,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Augusto_Cury,
2026-01-12,Flávio Bolsonaro,Flávio Bolsonaro,807,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Flávio_Bolsonaro,
2026-01-12,Lula,Luiz Inácio Lula da Silva,2405,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Luiz_Inácio_Lula_da_Silva,
2026-01-12,Pablo Marçal,Pablo Marçal,349,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Pablo_Marçal,
2026-01-12,Renan Santos,Renan Santos,1263,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Renan_Santos,
2026-01-12,Romeu Zema,Romeu Zema,279,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Romeu_Zema,
2026-01-12,Ronaldo Caiado,Ronaldo Caiado,277,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Ronaldo_Caiado,
2026-01-13,Augusto Cury,Augusto Cury,189,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Augusto_Cury,
2026-01-13,Flávio Bolsonaro,Flávio Bolsonaro,817,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Flávio_Bolsonaro,
2026-01-13,Lula,Luiz Inácio Lula da Silva,2274,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Luiz_Inácio_Lula_da_Silva,
2026-01-13,Pablo Marçal,Pablo Marçal,382,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Pablo_Marçal,
2026-01-13,Renan Santos,Renan Santos,1385,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Renan_Santos,
2026-01-13,Romeu Zema,Romeu Zema,280,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Romeu_Zema,
2026-01-13,Ronaldo Caiado,Ronaldo Caiado,263,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Ronaldo_Caiado,
2026-01-14,Augusto Cury,Augusto Cury,233,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Augusto_Cury,
2026-01-14,Flávio Bolsonaro,Flávio Bolsonaro,895,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Flávio_Bolsonaro,
2026-01-14,Lula,Luiz Inácio Lula da Silva,2135,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Luiz_Inácio_Lula_da_Silva,
2026-01-14,Pablo Marçal,Pablo Marçal,339,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Pablo_Marçal,
2026-01-14,Renan Santos,Renan Santos,1713,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Renan_Santos,
2026-01-14,Romeu Zema,Romeu Zema,339,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Romeu_Zema,
2026-01-14,Ronaldo Caiado,Ronaldo Caiado,359,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Ronaldo_Caiado,
2026-01-15,Augusto Cury,Augusto Cury,224,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Augusto_Cury,
2026-01-15,Flávio Bolsonaro,Flávio Bolsonaro,1008,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Flávio_Bolsonaro,
2026-01-15,Lula,Luiz Inácio Lula da Silva,2064,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Luiz_Inácio_Lula_da_Silva,
2026-01-15,Pablo Marçal,Pablo Marçal,323,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Pablo_Marçal,
2026-01-15,Renan Santos,Renan Santos,1307,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Renan_Santos,
2026-01-15,Romeu Zema,Romeu Zema,316,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Romeu_Zema,
2026-01-15,Ronaldo Caiado,Ronaldo Caiado,350,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Ronaldo_Caiado,
2026-01-16,Augusto Cury,Augusto Cury,212,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Augusto_Cury,
2026-01-16,Flávio Bolsonaro,Flávio Bolsonaro,880,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Flávio_Bolsonaro,
2026-01-16,Lula,Luiz Inácio Lula da Silva,2274,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Luiz_Inácio_Lula_da_Silva,
2026-01-16,Pablo Marçal,Pablo Marçal,361,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Pablo_Marçal,
2026-01-16,Renan Santos,Renan Santos,1085,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Renan_Santos,
2026-01-16,Romeu Zema,Romeu Zema,252,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Romeu_Zema,
2026-01-16,Ronaldo Caiado,Ronaldo Caiado,389,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Ronaldo_Caiado,
2026-01-17,Augusto Cury,Augusto Cury,204,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Augusto_Cury,
2026-01-17,Flávio Bolsonaro,Flávio Bolsonaro,812,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Flávio_Bolsonaro,
2026-01-17,Lula,Luiz Inácio Lula da Silva,2027,"Wikimedia REST API, pageviews per-article, all-access, agente user (coleta própria 1/9/2026)",https://pt.wikipedia.org/wiki/Luiz_Inácio_Lula_da_Silva,
